name	email	civl_id	safa_id	ushpa_id	bhpa_id	dhv_id	ffvl_id	fai_id	class	team	driver	glider
James Abbott	james.abbott@example.com	200201							open			Ozone Zeno 2
Sarah Baker	sarah.baker@example.com	200202							open			Advance Omega ULS
Liam Chen	liam.chen@example.com	200203							open			Gin Leopard
Olivia Dixon	olivia.dixon@example.com	200204							open			Niviuk Icepeak Evox
Noah Evans	noah.evans@example.com	200205							open			Ozone Enzo 3
Emma Fraser	emma.fraser@example.com	200206							open			Advance Sigma 11
Jack Grant	jack.grant@example.com	200207							open			Gin Bonanza 3
Ava Hughes	ava.hughes@example.com	200208							open			Niviuk Artik 6
William Irwin	william.irwin@example.com	200209							open			Ozone Delta 4
Mia Jensen	mia.jensen@example.com	200210							open			Advance Iota 2
Ethan Kelly	ethan.kelly@example.com	200211							open			Gin Explorer 2
Grace Lowe	grace.lowe@example.com	200212							open			Niviuk Ikuma 3
Lucas Murphy	lucas.murphy@example.com	200213							open			Ozone Zeno 2
Chloe Nolan	chloe.nolan@example.com	200214							open			Advance Omega ULS
Henry OConnor	henry.oconnor@example.com	200215							open			Gin Leopard
Zoe Patel	zoe.patel@example.com	200216							open			Niviuk Icepeak Evox
Oliver Quinn	oliver.quinn@example.com	200217							open			Ozone Enzo 3
Ruby Reid	ruby.reid@example.com	200218							open			Advance Sigma 11
Thomas Singh	thomas.singh@example.com	200219							open			Gin Bonanza 3
Isla Turner	isla.turner@example.com	200220							open			Niviuk Artik 6
Charlie Underwood	charlie.underwood@example.com	200221							open			Ozone Delta 4
Ella Vaughan	ella.vaughan@example.com	200222							open			Advance Iota 2
Max Walker	max.walker@example.com	200223							open			Gin Explorer 2
Lily Xu	lily.xu@example.com	200224							open			Niviuk Ikuma 3
Leo Young	leo.young@example.com	200225							open			Ozone Zeno 2
Amelia Zammit	amelia.zammit@example.com	200226							open			Advance Omega ULS
Hugo Armstrong	hugo.armstrong@example.com	200227							open			Gin Leopard
Poppy Boyle	poppy.boyle@example.com	200228							open			Niviuk Icepeak Evox
Finn Carter	finn.carter@example.com	200229							open			Ozone Enzo 3
Scarlett Doyle	scarlett.doyle@example.com	200230							open			Advance Sigma 11
Archie Ellison	archie.ellison@example.com	200231							open			Gin Bonanza 3
Freya Foster	freya.foster@example.com	200232							open			Niviuk Artik 6
George Gibson	george.gibson@example.com	200233							open			Ozone Delta 4
Willow Harding	willow.harding@example.com	200234							open			Advance Iota 2
Harry Ingram	harry.ingram@example.com	200235							open			Gin Explorer 2
Evie Jarvis	evie.jarvis@example.com	200236							open			Niviuk Ikuma 3
Oscar Knight	oscar.knight@example.com	200237							open			Ozone Zeno 2
Matilda Larsen	matilda.larsen@example.com	200238							open			Advance Omega ULS
Jasper Mercer	jasper.mercer@example.com	200239							open			Gin Leopard
Harper Newton	harper.newton@example.com	200240							open			Niviuk Icepeak Evox
Toby Osborne	toby.osborne@example.com	200241							open			Ozone Enzo 3
Georgia Palmer	georgia.palmer@example.com	200242							open			Advance Sigma 11
Angus Rankin	angus.rankin@example.com	200243							open			Gin Bonanza 3
Maya Sutton	maya.sutton@example.com	200244							open			Niviuk Artik 6
